pgroup,suppname,partno,sdesc,lcost,retail,qoh,cost_value,lsold,last_order_ref,last_receipt_date
B02,PARTS INCORPORATED,E17-258,PLUG WIRES,127.66,195.00,1,127.66,2022-07-24,,
B02,PARTS INCORPORATED,E17-284I,PLUG WIRES,78.46,115.00,2,156.92,2015-10-01,,
B02,PARTS INCORPORATED,P06-301,BOUGIE COR,96.35,150.00,1,96.35,2023-05-06,747058,2025-06-13
B02,PARTS INCORPORATED,S19-206,BOUGICORD,97.44,150.00,1,97.44,2021-11-01,,
b06,PARTS INCORPORATED,D3174DS,206 BREAk ,346.87,450.00,1,346.87,2021-02-20,3796495,2026-03-10
B06,PARTS INCORPORATED,D3088F,BRAKE PADS,388.57,530.00,1,388.57,2022-07-15,,
B06,PARTS INCORPORATED,D3208F,BRAKE PADS,323.19,465.00,1,323.19,2022-05-02,,
B06,PARTS INCORPORATED,D3295FAI,POLO FAI F,151.50,220.00,1,151.50,,3748779,2026-03-05
B06,PARTS INCORPORATED,D3575,BRAKE PAD,191.17,280.00,1,191.17,2023-06-01,,
B06,PARTS INCORPORATED,d3585,BRAKE PAD,103.86,150.00,1,103.86,2021-07-03,,
B06,PARTS INCORPORATED,D3585DS,BRAKE PADS,243.83,330.00,2,487.66,2022-10-14,,
B06,PARTS INCORPORATED,D3674DS,BRAKE PADS,349.31,445.00,1,349.31,2018-06-09,EROE9348,2024-04-15
B06,PARTS INCORPORATED,D4108DS,BRAKE PAD,479.96,650.00,1,479.96,2022-11-21,,
B06,PARTS INCORPORATED,FDB1291,BRAKE PADS,392.74,540.00,2,785.48,2023-08-01,,
B06,PARTS INCORPORATED,FDB1521,BRAKE PADS,583.96,795.00,1,583.96,2023-08-05,,
B06,PARTS INCORPORATED,FDB1748,BMW E60,663.77,900.00,1,663.77,2023-06-07,,
B06,PARTS INCORPORATED,FDB1907,MERC W203,800.30,1085.00,1,800.30,2023-07-01,,
B06,PARTS INCORPORATED,FDB4954,BRAKE PAD,377.63,485.00,1,377.63,,,
B06,PARTS INCORPORATED,FDB558,BRAKE PADS,253.09,350.00,1,253.09,2021-10-21,,
B06,PARTS INCORPORATED,WS0304B,BRAKE SENS,174.72,260.00,1,174.72,,,
BP,PARTS INCORPORATED,TYF3188,RAD BOTTLE,100.00,150.00,1,100.00,,,
BP2,PARTS INCORPORATED,SB239-LED,TRUCK LAMP,95.98,150.00,1,95.98,2023-11-29,,
BP2,PARTS INCORPORATED,SB240-LED,TRUCK LAMP,104.18,160.00,1,104.18,2018-11-28,,
C06,PARTS INCORPORATED,OFC-13100,OIL CAP BM,65.30,100.00,1,65.30,2023-12-20,,
C07,PARTS INCORPORATED,2243,THERMOSTAT,275.80,400.00,1,275.80,2023-11-23,,
C13,PARTS INCORPORATED,R296MK,CLUTCH,1993.00,2700.00,1,1993.00,2021-12-11,,
