pgroup,suppname,partno,sdesc,lcost,retail,qoh,cost_value,lsold,last_order_ref,last_trans_date
B06,PARTS INCORPORATED,D3309DS,BRAKE PADS,442.21,640.00,1,442.21,2020-02-05,NO HISTORY,
B06,PARTS INCORPORATED,D3352DS,BRAKE PADS,25.00,195.00,1,25.00,,NO HISTORY,
B06,PARTS INCORPORATED,D3369,CAMRY 2.4 ,147.90,250.00,1,147.90,,NO HISTORY,
B06,PARTS INCORPORATED,D3374F,BRAKE PADS,448.86,650.00,1,448.86,2023-08-04,EROC4555,2024-03-22
B06,PARTS INCORPORATED,D4054DS,AMAROK BRA,645.39,930.00,1,645.39,,03805786,2026-03-11
B06,PARTS INCORPORATED,FDB1502,BRAKE PADS,651.54,940.00,1,651.54,,NO HISTORY,
B06,PARTS INCORPORATED,FDB1788,BRAKE PADS,250.23,360.00,1,250.23,,NO HISTORY,
B09,PARTS INCORPORATED,FSB672,ETIOS BRAK,236.08,340.00,2,472.16,,NO HISTORY,
BO,PARTS INCORPORATED,KL1E,CONNECTOR,15.29,20.00,2,30.58,,03667573,2026-02-19
C07,PARTS INCORPORATED,TI14888,THERMOSTAT,633.72,910.00,1,633.72,2022-11-15,NO HISTORY,
D03,PARTS INCORPORATED,FDR329776,GETZ DRUMS,268.95,445.00,2,537.90,,NO HISTORY,
D06,PARTS INCORPORATED,DDF1636,DISC,206.02,340.00,2,412.04,2022-10-21,NO HISTORY,
E02,PARTS INCORPORATED,TP1009M,IGN MODULE,408.70,555.00,1,408.70,2017-06-13,NO HISTORY,
E04,PARTS INCORPORATED,64151CBI,H3 OSRAM,106.98,155.00,2,213.96,,NO HISTORY,
E04,PARTS INCORPORATED,G7507,GLOBES,8.74,15.00,8,69.92,2022-03-24,NO HISTORY,
E04,PARTS INCORPORATED,H7-12V,GLOBE,15.42,30.00,17,262.14,2023-08-28,NO HISTORY,
E08,PARTS INCORPORATED,32210,t/sw 1pin,59.18,100.00,1,59.18,2022-10-23,ERMP8951,2025-07-02
E08,PARTS INCORPORATED,33784,TEMP SWITC,175.88,275.00,4,703.52,,EROL9615,2024-06-19
E08,PARTS INCORPORATED,TS6078,,32.15,55.00,2,64.30,,NO HISTORY,
E09,PARTS INCORPORATED,12640,OIL PREASU,57.21,90.00,1,57.21,2023-09-06,NO HISTORY,
E10,PARTS INCORPORATED,SL161,S.L.SWITCH,76.05,110.00,1,76.05,2021-10-19,ERMR1437,2025-07-15
E14,PARTS INCORPORATED,BRA6001,BRUSHES,6.04,15.00,19,114.76,2021-09-29,NO HISTORY,
E14,PARTS INCORPORATED,BSX159-160,B/SET BOSC,14.30,30.00,1,14.30,2023-10-02,EROZ3742,2024-10-24
E19,PARTS INCORPORATED,DRV1208,FORD FIEST,69.18,115.00,1,69.18,2022-08-30,NO HISTORY,
E19,PARTS INCORPORATED,drv6081,BEDIX QUAN,70.56,120.00,1,70.56,2022-03-02,NO HISTORY,
E19,PARTS INCORPORATED,DRV6089,BENDIX TOY,81.98,135.00,1,81.98,,NO HISTORY,
E20,PARTS INCORPORATED,SS357,SOLENOID,209.11,345.00,1,209.11,2023-12-07,NO HISTORY,
F02,PARTS INCORPORATED,AG1147,AIR FILTER,99.13,165.00,1,99.13,2023-07-19,NO HISTORY,
F02,PARTS INCORPORATED,AG1379,AIR FILTER,139.02,205.00,2,278.04,,ERQW7139,2024-02-06
F02,PARTS INCORPORATED,AG1408,AIR FILTER,201.45,295.00,1,201.45,,ERMF1008,2025-03-06
F02,PARTS INCORPORATED,AG1590,AIR FILTER,315.76,455.00,2,631.52,,3592017,2026-02-10
F02,PARTS INCORPORATED,AG1829,AIR FILTER,122.54,180.00,1,122.54,,ERMM2625,2025-05-23
F02,PARTS INCORPORATED,AG1927,SWIFT ERTI,139.50,205.00,1,139.50,,I3933,2025-12-12
F02,PARTS INCORPORATED,AG330,CA2621,137.12,200.00,1,137.12,2022-09-12,03788295,2026-03-09
F02,PARTS INCORPORATED,AG931,AIR FILTER,143.31,230.00,2,286.62,,EROO8046,2024-07-15
F02,PARTS INCORPORATED,FK25,AVANZA 1&2,168.93,300.00,1,168.93,2022-05-13,NO HISTORY,
F02,PARTS INCORPORATED,FK47,QUANTUM PE,131.32,220.00,1,131.32,2022-03-29,NO HISTORY,
F05,PARTS INCORPORATED,CK105HI,CARB KIT,103.76,155.00,2,207.52,2015-07-24,NO HISTORY,
F10,PARTS INCORPORATED,E158G,GUD ,355.88,485.00,3,1067.64,,NO HISTORY,
F10,PARTS INCORPORATED,MP15,DIESEL FIL,446.59,735.00,1,446.59,2022-04-27,NO HISTORY,
F10,PARTS INCORPORATED,MP59,DIESEL FIL,385.87,555.00,1,385.87,,03802717,2026-03-11
F11,PARTS INCORPORATED,P10100,DIESEL FIL,253.83,320.00,1,253.83,,NO HISTORY,
F11,PARTS INCORPORATED,Z309,,289.69,420.00,3,869.07,,NO HISTORY,
F11,PARTS INCORPORATED,Z310,ISUZU,168.61,240.00,1,168.61,2020-06-07,3556666,2026-02-04
F11,PARTS INCORPORATED,Z467,OIL FILTER,75.40,110.00,1,75.40,,NO HISTORY,
F11,PARTS INCORPORATED,Z531,TUCSON DIE,185.40,275.00,4,741.60,2023-12-29,NO HISTORY,
FAI,PARTS INCORPORATED,45006FAI,SHOCKS,206.83,280.00,4,827.32,,NO HISTORY,
FAI,PARTS INCORPORATED,45862F,SHOCKS,199.01,275.00,2,398.02,,ERMH8474,2025-04-03
FAI,PARTS INCORPORATED,45869F,SHOCKS,211.75,290.00,2,423.50,,NO HISTORY,
FAI,PARTS INCORPORATED,45871F,FAI SHOCKS,201.98,275.00,6,1211.88,,03600038,2026-02-10
FAI,PARTS INCORPORATED,45888F,FRONT LH S,345.98,470.00,1,345.98,,NO HISTORY,
FAI,PARTS INCORPORATED,45889F,FRONT RH S,345.98,470.00,1,345.98,,NO HISTORY,
FAI,PARTS INCORPORATED,55819RF,REAR RH FP,391.12,530.00,2,782.24,,NO HISTORY,
FAI,PARTS INCORPORATED,55833F,SHOCKS,351.40,475.00,2,702.80,,NO HISTORY,
FAI,PARTS INCORPORATED,55863LF,LEFT SHOCK,421.60,575.00,2,843.20,,03587969,2026-02-09
FAI,PARTS INCORPORATED,56209F,FAI QUANTU,213.65,290.00,2,427.30,,3455070,2026-01-21
FAI,PARTS INCORPORATED,70826F,ETIOS FRON,447.10,605.00,1,447.10,,03625585,2026-02-13
