pgroup,suppname,partno,sdesc,lcost,retail,qoh,cost_value,lsold,last_order_ref,last_receipt_date
A03,PARTS INCORPORATED,bj858,BALL JOINT,99.80,145.00,2,199.60,2017-06-23,,
B02,PARTS INCORPORATED,A14-210,KAD 1.3CUB,150.61,225.00,1,150.61,2020-08-11,,
B02,PARTS INCORPORATED,e17-254i,,143.32,210.00,1,143.32,2017-05-28,,
B02,PARTS INCORPORATED,p19-249i,,172.57,250.00,1,172.57,2019-09-09,,
B02,PARTS INCORPORATED,W19-334N,POLO 2003+,166.72,240.00,1,166.72,2018-06-30,,
b06,PARTS INCORPORATED,ate102,BRAKE PADS,172.86,245.00,1,172.86,2020-03-06,,
b06,PARTS INCORPORATED,d3374fa,runx rear ,118.17,170.00,1,118.17,,,
b06,PARTS INCORPORATED,d3630ds,brake pads,692.09,940.00,1,692.09,,,
b06,PARTS INCORPORATED,fdb4333,nv350 fron,260.78,355.00,2,521.56,,,
b06,PARTS INCORPORATED,FDB558,,271.11,425.00,1,271.11,2022-12-12,,
B06,PARTS INCORPORATED,ATE1009,VITO PADS,670.72,965.00,1,670.72,2019-05-23,,
B06,PARTS INCORPORATED,ATE871,BRAKE PADS,605.27,865.00,1,605.27,2021-12-03,,
B06,PARTS INCORPORATED,ATE897,VITO FRONT,801.53,1215.00,1,801.53,2016-06-06,,
B06,PARTS INCORPORATED,ATE940,DN19VTGP,678.84,930.00,1,678.84,2023-12-21,Z48098,2024-07-05
B06,PARTS INCORPORATED,ATE973,VITO FRONT,558.94,795.00,1,558.94,2016-06-06,,
B06,PARTS INCORPORATED,D174/1F,PADS FD558,146.22,170.00,1,146.22,2013-12-20,,
B06,PARTS INCORPORATED,D292F,FERODO BRE,159.43,230.00,1,159.43,2016-02-13,,
B06,PARTS INCORPORATED,D3013F,FERODO B/P,345.87,500.00,2,691.74,2023-03-31,,
B06,PARTS INCORPORATED,D3029F,BRAKE PADS,342.49,495.00,1,342.49,2022-04-28,,
B06,PARTS INCORPORATED,D3072F,COLT PADS,355.02,515.00,1,355.02,2022-01-27,,
B06,PARTS INCORPORATED,D3078S,SAFELINE,237.70,360.00,1,237.70,,EROD6017,2024-04-09
B06,PARTS INCORPORATED,D3238DS,BRAKE PADS,347.45,505.00,1,347.45,,,
B06,PARTS INCORPORATED,D3476DS,BRAKE PADS,305.50,450.00,1,305.50,2022-10-21,,
B06,PARTS INCORPORATED,D3575DS,TRANSP 202,438.15,595.00,1,438.15,2023-10-26,I5154,2026-02-21
B06,PARTS INCORPORATED,D3579DS,CHANA STAR,218.58,315.00,1,218.58,2021-10-21,,
B06,PARTS INCORPORATED,D3596DS,e90 rear b,551.61,750.00,1,551.61,2023-08-25,,
