pgroup,suppname,partno,sdesc,lcost,retail,qoh,cost_value,lsold,last_order_ref,last_trans_date
B01,PARTS INCORPORATED,483-114,BOSAL,134.82,195.00,1,134.82,2017-06-02,NO HISTORY,
B06,PARTS INCORPORATED,D1760M,BRAKE PADS,225.95,335.00,1,225.95,2022-01-10,NO HISTORY,
B06,PARTS INCORPORATED,D200DS,DISC SAVER,166.70,245.00,1,166.70,2023-08-24,NO HISTORY,
B06,PARTS INCORPORATED,D3106F,BRAKE PADS,321.49,495.00,1,321.49,2015-10-21,NO HISTORY,
B06,PARTS INCORPORATED,D3188DS,DISC PADS ,459.24,635.00,1,459.24,2021-08-02,NO HISTORY,
B06,PARTS INCORPORATED,D3202DS,DISC PADS ,430.43,615.00,1,430.43,,NO HISTORY,
B06,PARTS INCORPORATED,D3390DS,DISC PADS ,471.69,645.00,1,471.69,2023-12-03,NO HISTORY,
B06,PARTS INCORPORATED,D3528DS,DISC PADS ,223.13,305.00,2,446.26,2023-10-05,NO HISTORY,
B06,PARTS INCORPORATED,D3553M,BRAKE PADS,218.22,300.00,1,218.22,2022-09-23,NO HISTORY,
B06,PARTS INCORPORATED,D3576F,BRAKE PADS,243.38,350.00,1,243.38,2023-11-26,NO HISTORY,
B06,PARTS INCORPORATED,D3789DS,BRAKE PADS,368.84,500.00,1,368.84,2021-10-01,03803265,2026-03-11
B06,PARTS INCORPORATED,D973F,B/PADS FER,234.91,320.00,1,234.91,2023-12-14,03576789,2026-02-07
B06,PARTS INCORPORATED,D975F,FERODO B/P,385.09,525.00,1,385.09,2023-11-24,NO HISTORY,
B06,PARTS INCORPORATED,D996F,D/PADS FER,314.29,430.00,1,314.29,2023-10-09,EROF0987,2024-04-16
B06,PARTS INCORPORATED,FVR1132,MICROBUS L,371.62,510.00,1,371.62,,NO HISTORY,
C05,PARTS INCORPORATED,NS11HI,N. SEAT,42.82,65.00,1,42.82,2012-09-26,NO HISTORY,
C06,PARTS INCORPORATED,TP2-14,RAD CAP FO,35.77,55.00,1,35.77,2014-06-20,3576829,2026-02-06
C07,PARTS INCORPORATED,RT1643M,THERMOSTAT,55.14,100.00,1,55.14,2021-01-30,NO HISTORY,
C07,PARTS INCORPORATED,RT2339G,THERMOSTAT,56.00,295.00,1,56.00,2013-10-10,NO HISTORY,
C07,PARTS INCORPORATED,RT2817,THERMOSTAT,201.00,295.00,1,201.00,2013-04-11,NO HISTORY,
C07,PARTS INCORPORATED,RT3111-82,THERMOSTAT,38.78,60.00,1,38.78,2020-10-02,NO HISTORY,
C07,PARTS INCORPORATED,RT5974,THERMO,57.18,85.00,1,57.18,,NO HISTORY,
C13,PARTS INCORPORATED,R400MK,PALIO 1.6 ,3680.33,4940.00,1,3680.33,2016-02-11,NO HISTORY,
